site_idx,site_kind,site_key,n_units,metric_name,ber,repeat_idx,model_name,method
-1,analytical,all,-1,l1_norm,0.0,-1,resnet50,canonical_attack_analytical
-1,analytical,all,-1,l2_norm,0.00013241525423728814,-1,resnet50,canonical_attack_analytical
-1,analytical,all,-1,bias_value,0.0,-1,resnet50,canonical_attack_analytical
-1,analytical,all,-1,variance,0.0,-1,resnet50,canonical_attack_analytical
0,conv_bn_conv,layer1.0.conv1,64,l1_norm,0.0,0,resnet50,canonical_attack
1,conv_bn_conv,layer1.0.conv2,64,l1_norm,0.0,0,resnet50,canonical_attack
2,conv_bn_conv,layer1.1.conv1,64,l1_norm,0.0,0,resnet50,canonical_attack
3,conv_bn_conv,layer1.1.conv2,64,l1_norm,0.0,0,resnet50,canonical_attack
4,conv_bn_conv,layer1.2.conv1,64,l1_norm,0.0,0,resnet50,canonical_attack
5,conv_bn_conv,layer1.2.conv2,64,l1_norm,0.0,0,resnet50,canonical_attack
6,conv_bn_conv,layer2.0.conv1,128,l1_norm,0.0,0,resnet50,canonical_attack
7,conv_bn_conv,layer2.0.conv2,128,l1_norm,0.0,0,resnet50,canonical_attack
8,conv_bn_conv,layer2.1.conv1,128,l1_norm,0.0,0,resnet50,canonical_attack
9,conv_bn_conv,layer2.1.conv2,128,l1_norm,0.0,0,resnet50,canonical_attack
10,conv_bn_conv,layer2.2.conv1,128,l1_norm,0.0,0,resnet50,canonical_attack
11,conv_bn_conv,layer2.2.conv2,128,l1_norm,0.0,0,resnet50,canonical_attack
12,conv_bn_conv,layer2.3.conv1,128,l1_norm,0.0,0,resnet50,canonical_attack
13,conv_bn_conv,layer2.3.conv2,128,l1_norm,0.0,0,resnet50,canonical_attack
14,conv_bn_conv,layer3.0.conv1,256,l1_norm,0.0,0,resnet50,canonical_attack
15,conv_bn_conv,layer3.0.conv2,256,l1_norm,0.0,0,resnet50,canonical_attack
16,conv_bn_conv,layer3.1.conv1,256,l1_norm,0.0,0,resnet50,canonical_attack
17,conv_bn_conv,layer3.1.conv2,256,l1_norm,0.0,0,resnet50,canonical_attack
18,conv_bn_conv,layer3.2.conv1,256,l1_norm,0.0,0,resnet50,canonical_attack
19,conv_bn_conv,layer3.2.conv2,256,l1_norm,0.0,0,resnet50,canonical_attack
20,conv_bn_conv,layer3.3.conv1,256,l1_norm,0.0,0,resnet50,canonical_attack
21,conv_bn_conv,layer3.3.conv2,256,l1_norm,0.0,0,resnet50,canonical_attack
22,conv_bn_conv,layer3.4.conv1,256,l1_norm,0.0,0,resnet50,canonical_attack
23,conv_bn_conv,layer3.4.conv2,256,l1_norm,0.0,0,resnet50,canonical_attack
24,conv_bn_conv,layer3.5.conv1,256,l1_norm,0.0,0,resnet50,canonical_attack
25,conv_bn_conv,layer3.5.conv2,256,l1_norm,0.0,0,resnet50,canonical_attack
26,conv_bn_conv,layer4.0.conv1,512,l1_norm,0.0,0,resnet50,canonical_attack
27,conv_bn_conv,layer4.0.conv2,512,l1_norm,0.0,0,resnet50,canonical_attack
28,conv_bn_conv,layer4.1.conv1,512,l1_norm,0.0,0,resnet50,canonical_attack
29,conv_bn_conv,layer4.1.conv2,512,l1_norm,0.0,0,resnet50,canonical_attack
