site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,conv_bn_conv,"['layer1.0.conv1.weight', 'layer1.0.bn1.weight']",64,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,resnet50
1,conv_bn_conv,"['layer1.0.conv2.weight', 'layer1.0.bn2.weight']",64,l1_norm,0,1.0,0,1.0,4,0.9375,4,0.9375,4,0.9375,resnet50
2,conv_bn_conv,"['layer1.1.conv1.weight', 'layer1.1.bn1.weight']",64,l1_norm,0,1.0,0,1.0,4,0.9375,4,0.9375,4,0.9375,resnet50
3,conv_bn_conv,"['layer1.1.conv2.weight', 'layer1.1.bn2.weight']",64,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,resnet50
4,conv_bn_conv,"['layer1.2.conv1.weight', 'layer1.2.bn1.weight']",64,l1_norm,0,1.0,0,1.0,6,0.90625,6,0.90625,6,0.90625,resnet50
5,conv_bn_conv,"['layer1.2.conv2.weight', 'layer1.2.bn2.weight']",64,l1_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,resnet50
6,conv_bn_conv,"['layer2.0.conv1.weight', 'layer2.0.bn1.weight']",128,l1_norm,0,1.0,0,1.0,10,0.921875,10,0.921875,10,0.921875,resnet50
7,conv_bn_conv,"['layer2.0.conv2.weight', 'layer2.0.bn2.weight']",128,l1_norm,0,1.0,0,1.0,12,0.90625,12,0.90625,12,0.90625,resnet50
8,conv_bn_conv,"['layer2.1.conv1.weight', 'layer2.1.bn1.weight']",128,l1_norm,0,1.0,0,1.0,6,0.953125,6,0.953125,6,0.953125,resnet50
9,conv_bn_conv,"['layer2.1.conv2.weight', 'layer2.1.bn2.weight']",128,l1_norm,0,1.0,0,1.0,19,0.8515625,19,0.8515625,19,0.8515625,resnet50
10,conv_bn_conv,"['layer2.2.conv1.weight', 'layer2.2.bn1.weight']",128,l1_norm,0,1.0,0,1.0,8,0.9375,8,0.9375,8,0.9375,resnet50
11,conv_bn_conv,"['layer2.2.conv2.weight', 'layer2.2.bn2.weight']",128,l1_norm,0,1.0,0,1.0,22,0.828125,22,0.828125,22,0.828125,resnet50
12,conv_bn_conv,"['layer2.3.conv1.weight', 'layer2.3.bn1.weight']",128,l1_norm,0,1.0,0,1.0,21,0.8359375,21,0.8359375,21,0.8359375,resnet50
13,conv_bn_conv,"['layer2.3.conv2.weight', 'layer2.3.bn2.weight']",128,l1_norm,0,1.0,0,1.0,14,0.890625,14,0.890625,14,0.890625,resnet50
14,conv_bn_conv,"['layer3.0.conv1.weight', 'layer3.0.bn1.weight']",256,l1_norm,0,1.0,0,1.0,60,0.765625,60,0.765625,60,0.765625,resnet50
15,conv_bn_conv,"['layer3.0.conv2.weight', 'layer3.0.bn2.weight']",256,l1_norm,0,1.0,0,1.0,34,0.8671875,34,0.8671875,34,0.8671875,resnet50
16,conv_bn_conv,"['layer3.1.conv1.weight', 'layer3.1.bn1.weight']",256,l1_norm,0,1.0,0,1.0,48,0.8125,48,0.8125,48,0.8125,resnet50
17,conv_bn_conv,"['layer3.1.conv2.weight', 'layer3.1.bn2.weight']",256,l1_norm,0,1.0,0,1.0,57,0.77734375,57,0.77734375,57,0.77734375,resnet50
18,conv_bn_conv,"['layer3.2.conv1.weight', 'layer3.2.bn1.weight']",256,l1_norm,0,1.0,0,1.0,55,0.78515625,55,0.78515625,55,0.78515625,resnet50
19,conv_bn_conv,"['layer3.2.conv2.weight', 'layer3.2.bn2.weight']",256,l1_norm,0,1.0,0,1.0,45,0.82421875,45,0.82421875,45,0.82421875,resnet50
20,conv_bn_conv,"['layer3.3.conv1.weight', 'layer3.3.bn1.weight']",256,l1_norm,0,1.0,0,1.0,53,0.79296875,53,0.79296875,53,0.79296875,resnet50
21,conv_bn_conv,"['layer3.3.conv2.weight', 'layer3.3.bn2.weight']",256,l1_norm,0,1.0,0,1.0,60,0.765625,60,0.765625,60,0.765625,resnet50
22,conv_bn_conv,"['layer3.4.conv1.weight', 'layer3.4.bn1.weight']",256,l1_norm,0,1.0,0,1.0,64,0.75,64,0.75,64,0.75,resnet50
23,conv_bn_conv,"['layer3.4.conv2.weight', 'layer3.4.bn2.weight']",256,l1_norm,0,1.0,0,1.0,62,0.7578125,62,0.7578125,62,0.7578125,resnet50
24,conv_bn_conv,"['layer3.5.conv1.weight', 'layer3.5.bn1.weight']",256,l1_norm,0,1.0,0,1.0,76,0.703125,76,0.703125,76,0.703125,resnet50
25,conv_bn_conv,"['layer3.5.conv2.weight', 'layer3.5.bn2.weight']",256,l1_norm,0,1.0,0,1.0,61,0.76171875,61,0.76171875,61,0.76171875,resnet50
26,conv_bn_conv,"['layer4.0.conv1.weight', 'layer4.0.bn1.weight']",512,l1_norm,0,1.0,0,1.0,307,0.400390625,307,0.400390625,307,0.400390625,resnet50
27,conv_bn_conv,"['layer4.0.conv2.weight', 'layer4.0.bn2.weight']",512,l1_norm,0,1.0,0,1.0,282,0.44921875,282,0.44921875,282,0.44921875,resnet50
28,conv_bn_conv,"['layer4.1.conv1.weight', 'layer4.1.bn1.weight']",512,l1_norm,0,1.0,0,1.0,252,0.5078125,252,0.5078125,252,0.5078125,resnet50
29,conv_bn_conv,"['layer4.1.conv2.weight', 'layer4.1.bn2.weight']",512,l1_norm,0,1.0,0,1.0,241,0.529296875,241,0.529296875,241,0.529296875,resnet50
30,conv_bn_conv,"['layer4.2.conv1.weight', 'layer4.2.bn1.weight']",512,l1_norm,0,1.0,0,1.0,182,0.64453125,182,0.64453125,182,0.64453125,resnet50
