site_idx,site_kind,site_key,n_units,metric_name,ber,repeat_idx,model_name,method
5,vgg_pair,features.13,512,bias_value,0.0,1,vgg11,canonical_attack
6,vgg_pair,features.16,512,bias_value,0.0,1,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,bias_value,0.0,1,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,bias_value,0.0,1,vgg11,canonical_attack
-1,aggregate,all,-1,bias_value,0.0,1,vgg11,canonical_attack
0,vgg_pair,features.0,64,variance,0.0,1,vgg11,canonical_attack
1,vgg_pair,features.3,128,variance,0.0,1,vgg11,canonical_attack
2,vgg_pair,features.6,256,variance,0.0,1,vgg11,canonical_attack
3,vgg_pair,features.8,256,variance,0.0,1,vgg11,canonical_attack
4,vgg_pair,features.11,512,variance,0.0,1,vgg11,canonical_attack
5,vgg_pair,features.13,512,variance,0.0,1,vgg11,canonical_attack
6,vgg_pair,features.16,512,variance,0.0,1,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,variance,0.0009765625,1,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,variance,0.0,1,vgg11,canonical_attack
-1,aggregate,all,-1,variance,0.0003834355828220859,1,vgg11,canonical_attack
0,vgg_pair,features.0,64,l1_norm,0.0,2,vgg11,canonical_attack
1,vgg_pair,features.3,128,l1_norm,0.0,2,vgg11,canonical_attack
2,vgg_pair,features.6,256,l1_norm,0.0,2,vgg11,canonical_attack
3,vgg_pair,features.8,256,l1_norm,0.0,2,vgg11,canonical_attack
4,vgg_pair,features.11,512,l1_norm,0.0,2,vgg11,canonical_attack
5,vgg_pair,features.13,512,l1_norm,0.0,2,vgg11,canonical_attack
6,vgg_pair,features.16,512,l1_norm,0.0,2,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,l1_norm,0.00048828125,2,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,l1_norm,0.00146484375,2,vgg11,canonical_attack
-1,aggregate,all,-1,l1_norm,0.0007668711656441718,2,vgg11,canonical_attack
0,vgg_pair,features.0,64,l2_norm,0.0,2,vgg11,canonical_attack
1,vgg_pair,features.3,128,l2_norm,0.0,2,vgg11,canonical_attack
2,vgg_pair,features.6,256,l2_norm,0.0,2,vgg11,canonical_attack
3,vgg_pair,features.8,256,l2_norm,0.0,2,vgg11,canonical_attack
4,vgg_pair,features.11,512,l2_norm,0.0,2,vgg11,canonical_attack
5,vgg_pair,features.13,512,l2_norm,0.0,2,vgg11,canonical_attack
6,vgg_pair,features.16,512,l2_norm,0.0,2,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,l2_norm,0.00146484375,2,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,l2_norm,0.0009765625,2,vgg11,canonical_attack
-1,aggregate,all,-1,l2_norm,0.0009585889570552147,2,vgg11,canonical_attack
0,vgg_pair,features.0,64,bias_value,0.0,2,vgg11,canonical_attack
1,vgg_pair,features.3,128,bias_value,0.0,2,vgg11,canonical_attack
2,vgg_pair,features.6,256,bias_value,0.0,2,vgg11,canonical_attack
3,vgg_pair,features.8,256,bias_value,0.0,2,vgg11,canonical_attack
4,vgg_pair,features.11,512,bias_value,0.0,2,vgg11,canonical_attack
5,vgg_pair,features.13,512,bias_value,0.0,2,vgg11,canonical_attack
6,vgg_pair,features.16,512,bias_value,0.0,2,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,bias_value,0.0,2,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,bias_value,0.0,2,vgg11,canonical_attack
-1,aggregate,all,-1,bias_value,0.0,2,vgg11,canonical_attack
0,vgg_pair,features.0,64,variance,0.0,2,vgg11,canonical_attack
1,vgg_pair,features.3,128,variance,0.0,2,vgg11,canonical_attack
2,vgg_pair,features.6,256,variance,0.0,2,vgg11,canonical_attack
3,vgg_pair,features.8,256,variance,0.0,2,vgg11,canonical_attack
4,vgg_pair,features.11,512,variance,0.0,2,vgg11,canonical_attack
5,vgg_pair,features.13,512,variance,0.0,2,vgg11,canonical_attack
6,vgg_pair,features.16,512,variance,0.0,2,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,variance,0.00048828125,2,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,variance,0.0,2,vgg11,canonical_attack
-1,aggregate,all,-1,variance,0.00019171779141104295,2,vgg11,canonical_attack
