model_name,accuracy,time,dataset,method,method_kwargs
resnet50,0.80826,0.4958937168121338,imagenet12,noise,{'eps': 0.0001}
resnet50,0.79502,0.4570972919464111,imagenet12,noise,{'eps': 0.001}
resnet50,0.00076,0.6283066272735596,imagenet12,noise,{'eps': 0.01}
resnet50,0.0009,0.4877524375915527,imagenet12,noise,{'eps': 0.1}
resnet50,0.8084,0.4479634761810303,imagenet12,noise,{'eps': 0.0001}
resnet50,0.54342,0.4493036270141601,imagenet12,noise,{'eps': 0.001}
resnet50,0.00102,0.4511404037475586,imagenet12,noise,{'eps': 0.01}
resnet50,0.001,0.4486432075500488,imagenet12,noise,{'eps': 0.1}
resnet50,0.80848,0.4760301113128662,imagenet12,noise,{'eps': 0.0001}
resnet50,0.50732,0.4485323429107666,imagenet12,noise,{'eps': 0.001}
resnet50,0.00096,0.5059449672698975,imagenet12,noise,{'eps': 0.01}
resnet50,0.00108,0.4558260440826416,imagenet12,noise,{'eps': 0.1}
resnet50,0.80816,0.4494602680206299,imagenet12,noise,{'eps': 0.0001}
resnet50,0.59264,0.4445338249206543,imagenet12,noise,{'eps': 0.001}
resnet50,0.001,0.4634499549865722,imagenet12,noise,{'eps': 0.01}
resnet50,0.00096,0.4522099494934082,imagenet12,noise,{'eps': 0.1}
resnet50,0.80822,0.550565242767334,imagenet12,noise,{'eps': 0.0001}
resnet50,0.78568,0.4519956111907959,imagenet12,noise,{'eps': 0.001}
resnet50,0.00086,0.4473390579223633,imagenet12,noise,{'eps': 0.01}
resnet50,0.001,0.4592375755310058,imagenet12,noise,{'eps': 0.1}
resnet50,0.80832,0.4511513710021972,imagenet12,noise,{'eps': 0.0001}
resnet50,0.00386,0.4869198799133301,imagenet12,noise,{'eps': 0.001}
resnet50,0.00104,0.4579579830169678,imagenet12,noise,{'eps': 0.01}
resnet50,0.001,0.4535155296325683,imagenet12,noise,{'eps': 0.1}
resnet50,0.80832,0.4822912216186523,imagenet12,noise,{'eps': 0.0001}
resnet50,0.26482,0.4642376899719238,imagenet12,noise,{'eps': 0.001}
resnet50,0.0017,0.4917724132537842,imagenet12,noise,{'eps': 0.01}
resnet50,0.0011,0.4549629688262939,imagenet12,noise,{'eps': 0.1}
resnet50,0.80818,0.4539263248443603,imagenet12,noise,{'eps': 0.0001}
resnet50,0.54334,0.4571723937988281,imagenet12,noise,{'eps': 0.001}
resnet50,0.00102,0.4489939212799072,imagenet12,noise,{'eps': 0.01}
resnet50,0.00106,0.4551270008087158,imagenet12,noise,{'eps': 0.1}
resnet50,0.80832,0.4577870368957519,imagenet12,noise,{'eps': 0.0001}
resnet50,0.60552,0.453648567199707,imagenet12,noise,{'eps': 0.001}
resnet50,0.00112,0.4696724414825439,imagenet12,noise,{'eps': 0.01}
resnet50,0.001,0.467303991317749,imagenet12,noise,{'eps': 0.1}
resnet50,0.80842,0.4771559238433838,imagenet12,noise,{'eps': 0.0001}
resnet50,0.15508,0.492154598236084,imagenet12,noise,{'eps': 0.001}
resnet50,0.00144,0.4677624702453613,imagenet12,noise,{'eps': 0.01}
