model_name,accuracy,time,dataset,method,method_kwargs
efficientnet_b4,0.83398,,imagenet12,original,{}
efficientnet_b4,0.79446,,imagenet12,prune,{'amount': 0.01}
efficientnet_b4,0.80558,,imagenet12,prune,{'amount': 0.01}
efficientnet_b4,0.78876,,imagenet12,prune,{'amount': 0.01}
efficientnet_b4,0.13004,,imagenet12,prune,{'amount': 0.05}
efficientnet_b4,0.01404,,imagenet12,prune,{'amount': 0.05}
efficientnet_b4,0.02052,,imagenet12,prune,{'amount': 0.05}
efficientnet_b4,0.8339,,imagenet12,noise,{'eps': 0.0001}
efficientnet_b4,0.83398,,imagenet12,noise,{'eps': 0.0001}
efficientnet_b4,0.83412,,imagenet12,noise,{'eps': 0.001}
efficientnet_b4,0.83388,,imagenet12,noise,{'eps': 0.001}
efficientnet_b4,0.83454,,imagenet12,noise,{'eps': 0.001}
efficientnet_b4,0.8326,,imagenet12,noise,{'eps': 0.01}
efficientnet_b4,0.83124,,imagenet12,noise,{'eps': 0.01}
efficientnet_b4,0.8322,,imagenet12,noise,{'eps': 0.01}
efficientnet_b4,0.00084,,imagenet12,noise,{'eps': 0.1}
efficientnet_b4,0.0011,,imagenet12,noise,{'eps': 0.1}
efficientnet_b4,0.00094,,imagenet12,noise,{'eps': 0.1}
efficientnet_b4,0.8317,,imagenet12,quantization,"{'n_bits': 8, 'per_channel': True}"
efficientnet_b4,0.00492,,imagenet12,quantization,"{'n_bits': 4, 'per_channel': True}"
efficientnet_b4,0.00124,,imagenet12,quantization,"{'n_bits': 2, 'per_channel': True}"
efficientnet_b4,0.834,,imagenet12,neuperm,{}
efficientnet_b4,0.83396,,imagenet12,neuperm,{}
