site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,l1_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,vgg11
1,vgg_pair,"['features.3.weight', 'features.3.bias']",128,l1_norm,0,1.0,0,1.0,8,0.9375,8,0.9375,8,0.9375,vgg11
2,vgg_pair,"['features.6.weight', 'features.6.bias']",256,l1_norm,0,1.0,0,1.0,44,0.828125,44,0.828125,44,0.828125,vgg11
3,vgg_pair,"['features.8.weight', 'features.8.bias']",256,l1_norm,0,1.0,0,1.0,36,0.859375,36,0.859375,36,0.859375,vgg11
4,vgg_pair,"['features.11.weight', 'features.11.bias']",512,l1_norm,0,1.0,0,1.0,183,0.642578125,183,0.642578125,183,0.642578125,vgg11
5,vgg_pair,"['features.13.weight', 'features.13.bias']",512,l1_norm,2,0.99609375,1,2.0,215,0.580078125,215,0.580078125,215,0.580078125,vgg11
6,vgg_pair,"['features.16.weight', 'features.16.bias']",512,l1_norm,0,1.0,0,1.0,249,0.513671875,249,0.513671875,249,0.513671875,vgg11
7,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,l1_norm,10,0.99755859375,5,32.0,3768,0.080078125,3768,0.080078125,3768,0.080078125,vgg11
8,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,l1_norm,12,0.9970703125,6,64.0,3830,0.06494140625,3830,0.06494140625,3830,0.06494140625,vgg11
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,l2_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,8,0.875,vgg11
1,vgg_pair,"['features.3.weight', 'features.3.bias']",128,l2_norm,0,1.0,0,1.0,6,0.953125,6,0.953125,23,0.8203125,vgg11
2,vgg_pair,"['features.6.weight', 'features.6.bias']",256,l2_norm,0,1.0,0,1.0,35,0.86328125,35,0.86328125,108,0.578125,vgg11
3,vgg_pair,"['features.8.weight', 'features.8.bias']",256,l2_norm,0,1.0,0,1.0,29,0.88671875,29,0.88671875,112,0.5625,vgg11
4,vgg_pair,"['features.11.weight', 'features.11.bias']",512,l2_norm,0,1.0,0,1.0,187,0.634765625,187,0.634765625,409,0.201171875,vgg11
5,vgg_pair,"['features.13.weight', 'features.13.bias']",512,l2_norm,0,1.0,0,1.0,216,0.578125,216,0.578125,409,0.201171875,vgg11
6,vgg_pair,"['features.16.weight', 'features.16.bias']",512,l2_norm,0,1.0,0,1.0,202,0.60546875,202,0.60546875,442,0.13671875,vgg11
7,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,l2_norm,18,0.99560546875,9,512.0,3775,0.078369140625,3775,0.078369140625,4025,0.017333984375,vgg11
8,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,l2_norm,12,0.9970703125,6,64.0,3821,0.067138671875,3821,0.067138671875,4033,0.015380859375,vgg11
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,6,0.90625,vgg11
1,vgg_pair,"['features.3.weight', 'features.3.bias']",128,bias_value,0,1.0,0,1.0,2,0.984375,2,0.984375,38,0.703125,vgg11
2,vgg_pair,"['features.6.weight', 'features.6.bias']",256,bias_value,0,1.0,0,1.0,2,0.9921875,2,0.9921875,180,0.296875,vgg11
3,vgg_pair,"['features.8.weight', 'features.8.bias']",256,bias_value,0,1.0,0,1.0,0,1.0,2,0.9921875,136,0.46875,vgg11
4,vgg_pair,"['features.11.weight', 'features.11.bias']",512,bias_value,0,1.0,0,1.0,8,0.984375,14,0.97265625,458,0.10546875,vgg11
5,vgg_pair,"['features.13.weight', 'features.13.bias']",512,bias_value,0,1.0,0,1.0,12,0.9765625,19,0.962890625,428,0.1640625,vgg11
6,vgg_pair,"['features.16.weight', 'features.16.bias']",512,bias_value,0,1.0,0,1.0,10,0.98046875,12,0.9765625,430,0.16015625,vgg11
7,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,bias_value,0,1.0,0,1.0,874,0.78662109375,2309,0.436279296875,4090,0.00146484375,vgg11
8,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,bias_value,0,1.0,0,1.0,2462,0.39892578125,2509,0.387451171875,4089,0.001708984375,vgg11
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,variance,0,1.0,0,1.0,2,0.96875,2,0.96875,27,0.578125,vgg11
1,vgg_pair,"['features.3.weight', 'features.3.bias']",128,variance,0,1.0,0,1.0,0,1.0,35,0.7265625,127,0.0078125,vgg11
2,vgg_pair,"['features.6.weight', 'features.6.bias']",256,variance,0,1.0,0,1.0,28,0.890625,224,0.125,256,0.0,vgg11
3,vgg_pair,"['features.8.weight', 'features.8.bias']",256,variance,0,1.0,0,1.0,10,0.9609375,238,0.0703125,256,0.0,vgg11
4,vgg_pair,"['features.11.weight', 'features.11.bias']",512,variance,0,1.0,0,1.0,86,0.83203125,500,0.0234375,512,0.0,vgg11
5,vgg_pair,"['features.13.weight', 'features.13.bias']",512,variance,0,1.0,0,1.0,149,0.708984375,506,0.01171875,512,0.0,vgg11
6,vgg_pair,"['features.16.weight', 'features.16.bias']",512,variance,0,1.0,0,1.0,165,0.677734375,504,0.015625,512,0.0,vgg11
7,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,variance,6,0.99853515625,3,8.0,4067,0.007080078125,4096,0.0,4096,0.0,vgg11
8,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,variance,2,0.99951171875,1,2.0,3946,0.03662109375,4096,0.0,4096,0.0,vgg11
