model_name,method,scheme,n_lsb_bits,ber,time,repeat_idx
resnet101,clean_extraction,lsb_1bit,1,0.0,0.0,-1
resnet101,ptq_8bit_pertensor,lsb_1bit,1,0.5000611808385556,0.10225749015808105,0
resnet101,ptq_8bit_perchannel,lsb_1bit,1,0.49942321607692697,0.10159778594970703,0
resnet101,ptq_4bit_pertensor,lsb_1bit,1,0.4999844584546276,0.07690978050231934,0
resnet101,ptq_4bit_perchannel,lsb_1bit,1,0.49937260528075733,0.10034298896789551,0
resnet101,neuperm,lsb_1bit,1,0.4433973334470359,0.03218269348144531,0
resnet101,neuperm,lsb_1bit,1,0.4435766658610742,0.030368328094482422,1
resnet101,neuperm,lsb_1bit,1,0.4436508800993512,0.031090974807739258,2
resnet101,neuperm,lsb_1bit,1,0.4435547643749441,0.05935478210449219,3
resnet101,neuperm,lsb_1bit,1,0.4437040438294869,0.03388643264770508,4
resnet101,clean_extraction,lsb_2bit,2,0.0,0.0,-1
resnet101,ptq_8bit_pertensor,lsb_2bit,2,0.4999400396430335,0.08144807815551758,0
resnet101,ptq_8bit_perchannel,lsb_2bit,2,0.4993103495226372,0.08467555046081543,0
resnet101,ptq_4bit_pertensor,lsb_2bit,2,0.5000135932536615,0.07302236557006836,0
resnet101,ptq_4bit_perchannel,lsb_2bit,2,0.49949405999448565,0.07721471786499023,0
resnet101,neuperm,lsb_2bit,2,0.44372966274577813,0.03731274604797363,0
resnet101,neuperm,lsb_2bit,2,0.44350529568081193,0.036545753479003906,1
resnet101,neuperm,lsb_2bit,2,0.4435484268283441,0.0433652400970459,2
resnet101,neuperm,lsb_2bit,2,0.4435756581239823,0.03359484672546387,3
resnet101,neuperm,lsb_2bit,2,0.4435461650184268,0.03400135040283203,4
resnet101,clean_extraction,lsb_4bit,4,0.0,0.0,-1
resnet101,ptq_8bit_pertensor,lsb_4bit,4,0.49995198692611165,0.14029884338378906,0
resnet101,ptq_8bit_perchannel,lsb_4bit,4,0.4993517955098102,0.18068933486938477,0
resnet101,ptq_4bit_pertensor,lsb_4bit,4,0.49998125609009114,0.22821283340454102,0
resnet101,ptq_4bit_perchannel,lsb_4bit,4,0.49939717727018085,0.17006945610046387,0
resnet101,neuperm,lsb_4bit,4,0.44356180733750844,0.05105137825012207,0
resnet101,neuperm,lsb_4bit,4,0.44368448253282583,0.08803772926330566,1
resnet101,neuperm,lsb_4bit,4,0.44371586794469825,0.05180692672729492,2
resnet101,neuperm,lsb_4bit,4,0.443482442442984,0.029796361923217773,3
resnet101,neuperm,lsb_4bit,4,0.4437600852088739,0.034151315689086914,4
resnet101,clean_extraction,lsb_8bit,8,0.0,0.0,-1
resnet101,ptq_8bit_pertensor,lsb_8bit,8,0.4999348749904377,0.14211416244506836,0
resnet101,ptq_8bit_perchannel,lsb_8bit,8,0.49939087331481724,0.11449694633483887,0
resnet101,ptq_4bit_pertensor,lsb_8bit,8,0.49996859499323965,0.12302470207214355,0
resnet101,ptq_4bit_perchannel,lsb_8bit,8,0.4994383405311142,0.16849684715270996,0
resnet101,neuperm,lsb_8bit,8,0.4436445761439876,0.03328585624694824,0
resnet101,neuperm,lsb_8bit,8,0.44348208413646245,0.03397703170776367,1
resnet101,neuperm,lsb_8bit,8,0.4436580406312429,0.03590655326843262,2
resnet101,neuperm,lsb_8bit,8,0.4435908189686756,0.029158830642700195,3
resnet101,neuperm,lsb_8bit,8,0.44343689832497074,0.03266620635986328,4
